образовав: корень-образова;суффикс-в;
рубишь: корень-руб;окончание-ишь;
коллективно: корень-коллективно;
огородив: корень-огород;суффикс-ив;
реками: корень-рек;окончание-ами;
безобразничает: приставка-без;корень-образ;суффикс-нича;окончание-ет;
огородил: корень-огород;суффикс-и;суффикс-л;
оставлявшей: приставка-о;корень-ставл;суффикс-яв;суффикс-ш;окончание-ей;
вооружаешься: приставка-во;корень-оруж;суффикс-а;окончание-ешь;суффикс-ся;
отчаялась: корень-отча;суффикс-я;суффикс-л;окончание-а;суффикс-сь;
поднимаешь: корень-подним;суффикс-а;окончание-ешь;
мешками: корень-мешк;окончание-ами;
сражении: корень-сраж;суффикс-ени;окончание-и;
встрепенётся: приставка-вс;корень-треп;суффикс-ен;окончание-ёт;суффикс-ся;
сидевшему: корень-сид;суффикс-евш;окончание-ему;
горчицей: корень-горч;суффикс-иц;окончание-ей;
скрещивались: приставка-с;корень-крещ;суффикс-ива;суффикс-л;окончание-и;суффикс-сь;
фасадах: корень-фасад;окончание-ах;
любящего: корень-люб;суффикс-ящ;окончание-его;
сопоставляя: корень-сопоставл;суффикс-я;суффикс-я;
тоните: корень-тон;суффикс-ит;суффикс-е;
последствиях: корень-последстви;окончание-ях;
перетёртую: приставка-пере;корень-тёр;суффикс-т;окончание-ую;
коменданте: корень-коменд;суффикс-ант;окончание-е;
позолоченную: приставка-по;корень-золоч;суффикс-енн;окончание-ую;
картошек: корень-картош;суффикс-ек;окончание-;
приучись: приставка-при;корень-уч;суффикс-и;суффикс-сь;
бесстрашии: приставка-бес;корень-страш;суффикс-и;окончание-и;
подыскивали: приставка-под;корень-ыск;суффикс-ива;суффикс-л;окончание-и;
проблематично: корень-проблематично;
толкал: корень-толк;суффикс-а;суффикс-л;
погрузившемся: приставка-по;корень-груз;суффикс-ивш;окончание-ем;суффикс-ся;
выпечкой: приставка-вы;корень-печ;суффикс-к;окончание-ой;
позабавьте: приставка-по;корень-забавь;суффикс-т;суффикс-е;
пересказываю: приставка-пере;корень-сказ;суффикс-ыва;окончание-ю;
пересказывая: приставка-пере;корень-сказ;суффикс-ыва;суффикс-я;
назывные: приставка-на;корень-зыв;суффикс-н;окончание-ые;
закатили: приставка-за;корень-кат;суффикс-и;суффикс-л;окончание-и;
небеспристрастный: приставка-небес;корень-пристраст;суффикс-н;окончание-ый;
ухнула: приставка-у;корень-хн;суффикс-ул;окончание-а;
пересоленная: приставка-пере;корень-солен;суффикс-н;окончание-ая;
ситца: корень-ситц;окончание-а;
подвезу: приставка-под;корень-вез;окончание-у;
прополешь: корень-проп;суффикс-ол;окончание-ешь;
продолжающейся: корень-продолж;суффикс-а;суффикс-ющ;окончание-ей;суффикс-ся;
сосною: корень-сосн;суффикс-о;окончание-ю;
наблюдавший: корень-наблюд;суффикс-авш;окончание-ий;
пролетавшая: корень-пролет;суффикс-авш;окончание-ая;
обдумавши: приставка-об;корень-дум;суффикс-авш;суффикс-и;
стропила: корень-стропил;окончание-а;
фраками: корень-фрак;окончание-ами;
тешились: корень-теш;суффикс-и;суффикс-л;окончание-и;суффикс-сь;
илом: корень-ил;окончание-ом;
сурку: корень-сурк;окончание-у;
проведённая: приставка-про;корень-вед;суффикс-ённ;окончание-ая;
листочку: корень-лист;суффикс-очк;окончание-у;
стянули: корень-ст;суффикс-ян;суффикс-ул;окончание-и;
обуваются: приставка-о;корень-бу;суффикс-ва;окончание-ют;суффикс-ся;
заложишь: приставка-за;корень-лож;окончание-ишь;
босяки: корень-бос;суффикс-як;окончание-и;
стянуло: корень-ст;суффикс-ян;суффикс-ул;окончание-о;
невесёлое: приставка-не;корень-весёл;окончание-ое;
саговник: корень-саг;суффикс-ов;суффикс-ник;
непростая: приставка-не;корень-прост;окончание-ая;
подковавшего: приставка-под;корень-кова;суффикс-вш;окончание-его;
отворявшие: приставка-о;корень-твор;суффикс-яв;суффикс-ш;окончание-ие;
встревожив: приставка-вс;корень-тревож;суффикс-ив;
прорвавшего: корень-прорв;суффикс-авш;окончание-его;
танцора: корень-танц;суффикс-ор;окончание-а;
заломленные: приставка-за;корень-ломл;суффикс-енн;окончание-ые;
лисицами: корень-лис;суффикс-иц;окончание-ами;
аптеки: корень-аптек;окончание-и;
перекраиваешь: приставка-пере;корень-кра;суффикс-ива;окончание-ешь;
маяком: корень-маяк;окончание-ом;
бежевое: корень-беж;суффикс-ев;окончание-ое;
облила: приставка-об;корень-лил;окончание-а;
разраставшимся: приставка-раз;корень-раст;суффикс-авш;окончание-им;суффикс-ся;
зимовку: корень-зим;суффикс-ов;суффикс-к;окончание-у;
облило: приставка-об;корень-лил;окончание-о;
суеты: корень-сует;окончание-ы;
подложила: корень-подлож;суффикс-и;суффикс-л;окончание-а;
бисеринки: корень-бисер;суффикс-инк;окончание-и;
варился: корень-вари;суффикс-л;суффикс-ся;
перепёлки: корень-перепёл;суффикс-к;окончание-и;
пригретого: приставка-при;корень-гре;суффикс-т;окончание-ого;
драматические: корень-драм;суффикс-ат;суффикс-ическ;окончание-ие;
ножечки: корень-нож;суффикс-еч;суффикс-к;окончание-и;
бейся: корень-бейс;суффикс-я;
допуская: приставка-до;корень-пуск;суффикс-а;суффикс-я;
робота: корень-робот;окончание-а;
смотрясь: корень-смотр;суффикс-я;суффикс-сь;
прожаренные: приставка-про;корень-жар;суффикс-енн;окончание-ые;
выделявшие: приставка-вы;корень-дел;суффикс-яв;суффикс-ш;окончание-ие;
штукатурят: корень-штукатур;окончание-ят;
однокомнатная: корень-однокомн;суффикс-ат;суффикс-н;окончание-ая;
ничтожное: корень-ничтож;суффикс-н;окончание-ое;
прикоснулись: приставка-при;корень-косн;суффикс-у;суффикс-л;окончание-и;суффикс-сь;
пойменных: корень-пойм;суффикс-енн;окончание-ых;
сосенку: приставка-с;корень-осен;суффикс-к;окончание-у;
разгуливала: приставка-раз;корень-гул;суффикс-ива;суффикс-л;окончание-а;
подтаскивали: приставка-под;корень-таск;суффикс-ива;суффикс-л;окончание-и;
баклажанная: корень-баклажан;суффикс-н;окончание-ая;
предадимся: приставка-пред;корень-ад;окончание-им;суффикс-ся;
начнём: корень-нач;суффикс-н;окончание-ём;
передвижные: приставка-пере;корень-движ;суффикс-н;окончание-ые;
переливайте: приставка-пере;корень-лива;суффикс-й;суффикс-т;суффикс-е;
прославляют: приставка-про;корень-славл;суффикс-я;окончание-ют;
изготовлялись: приставка-из;корень-готовл;суффикс-я;суффикс-л;окончание-и;суффикс-сь;
сбивается: корень-сб;суффикс-ива;окончание-ет;суффикс-ся;
заместителя: приставка-за;корень-мест;суффикс-ит;суффикс-ел;окончание-я;
отражал: корень-отраж;суффикс-а;суффикс-л;
задаваемых: приставка-за;корень-даваем;окончание-ых;
угощением: корень-угощ;суффикс-ени;окончание-ем;
приключениям: корень-приключ;суффикс-ени;окончание-ям;
выстоим: корень-выс;суффикс-то;окончание-им;
сольно: корень-сольно;
дельфиновый: корень-дельфин;суффикс-ов;окончание-ый;
застывающий: корень-заст;суффикс-ыва;суффикс-ющ;окончание-ий;
тонкостям: корень-тонк;суффикс-ост;окончание-ям;
выткал: приставка-вы;корень-тк;суффикс-а;суффикс-л;
пытайся: корень-пыт;суффикс-а;суффикс-й;суффикс-ся;
сумрачен: приставка-су;корень-мрач;суффикс-ен;окончание-;
предложив: корень-предлож;суффикс-ив;
понятны: корень-поня;суффикс-т;суффикс-н;окончание-ы;
пациенты: корень-пациент;окончание-ы;
обезвреженные: приставка-обез;корень-вреж;суффикс-енн;окончание-ые;
отличающий: корень-отлич;суффикс-а;суффикс-ющ;окончание-ий;
хрупок: корень-хруп;суффикс-ок;окончание-;
рябила: корень-ряб;суффикс-и;суффикс-л;окончание-а;
тальником: корень-таль;суффикс-ник;окончание-ом;
повелеваю: приставка-по;корень-веле;суффикс-ва;окончание-ю;
строгает: корень-строг;суффикс-а;окончание-ет;
повёз: приставка-по;корень-вёз;
шприцев: корень-шприц;окончание-ев;
проветривал: приставка-про;корень-ветр;суффикс-ива;суффикс-л;
толпилось: корень-толп;суффикс-и;суффикс-л;окончание-о;суффикс-сь;
взлелеянное: приставка-вз;корень-леле;суффикс-янн;окончание-ое;
ила: корень-ила;
сизая: корень-сиз;окончание-ая;
внесли: приставка-в;корень-нес;суффикс-л;окончание-и;
поддержи: приставка-под;корень-держ;суффикс-и;
оглашённый: приставка-о;корень-глаш;суффикс-ённ;окончание-ый;
ценою: корень-цен;суффикс-о;окончание-ю;
вскормили: приставка-вс;корень-корм;суффикс-и;суффикс-л;окончание-и;
белевши: корень-бел;суффикс-евш;суффикс-и;
вскормила: приставка-вс;корень-корм;суффикс-и;суффикс-л;окончание-а;
устроившихся: приставка-у;корень-строи;суффикс-вш;окончание-их;суффикс-ся;
взмывало: приставка-вз;корень-мы;суффикс-ва;суффикс-л;окончание-о;
заулыбался: приставка-за;корень-улыб;суффикс-а;суффикс-л;суффикс-ся;
попрощались: приставка-по;корень-прощ;суффикс-а;суффикс-л;окончание-и;суффикс-сь;
построенном: приставка-по;корень-стро;суффикс-енн;окончание-ом;
пении: корень-пен;суффикс-и;окончание-и;
тополиных: корень-топол;суффикс-ин;окончание-ых;
примеряет: корень-пример;суффикс-я;окончание-ет;
заплесневел: приставка-за;корень-плесн;суффикс-ев;суффикс-е;суффикс-л;
страже: корень-страж;окончание-е;
усыпит: приставка-у;корень-сып;окончание-ит;
беззвучная: приставка-без;корень-звуч;суффикс-н;окончание-ая;
надёжней: корень-надёж;суффикс-н;суффикс-ей;
выполни: приставка-вы;корень-полн;суффикс-и;
наливался: приставка-на;корень-лива;суффикс-л;суффикс-ся;
контролирующих: корень-контрол;суффикс-ир;суффикс-у;суффикс-ющ;окончание-их;
представлениями: корень-представл;суффикс-ени;окончание-ями;
здоровалась: корень-здоров;суффикс-а;суффикс-л;окончание-а;суффикс-сь;
коротышек: корень-корот;суффикс-ышек;окончание-;
вьюночки: корень-вьюн;суффикс-очк;окончание-и;
пропадала: корень-пропад;суффикс-ал;окончание-а;
ситцевую: корень-ситц;суффикс-ев;окончание-ую;
калачной: корень-калач;суффикс-н;окончание-ой;
горем: корень-гор;окончание-ем;
огранённым: приставка-о;корень-гран;суффикс-ённ;окончание-ым;
огуречным: корень-огуреч;суффикс-н;окончание-ым;
синеющих: корень-син;суффикс-е;суффикс-ющ;окончание-их;
непропорционально: корень-непропорционально;
закашлял: приставка-за;корень-кашл;суффикс-я;суффикс-л;
справляемся: корень-справл;суффикс-я;окончание-ем;суффикс-ся;
управляешь: приставка-у;корень-правл;суффикс-я;окончание-ешь;
закончены: корень-закон;суффикс-ч;суффикс-ен;окончание-ы;
пугаются: корень-пуг;суффикс-а;окончание-ют;суффикс-ся;
группу: корень-групп;окончание-у;
закатывали: приставка-за;корень-кат;суффикс-ыва;суффикс-л;окончание-и;
затеняют: корень-зате;суффикс-н;суффикс-я;окончание-ют;
потеряны: корень-пот;суффикс-ер;суффикс-ян;окончание-ы;
группы: корень-групп;окончание-ы;
перемерят: приставка-пере;корень-мер;окончание-ят;
разминаю: приставка-раз;корень-мин;суффикс-а;окончание-ю;
храпящих: корень-храп;суффикс-ящ;окончание-их;
перезаложив: приставка-пере;приставка-за;корень-лож;суффикс-ив;
опрятен: приставка-о;корень-прят;суффикс-ен;окончание-;
подсолнечниками: корень-подсолн;суффикс-еч;суффикс-ник;окончание-ами;
неотразимость: приставка-не;корень-отраз;суффикс-им;суффикс-ость;окончание-;
приколем: приставка-при;корень-кол;окончание-ем;
благословляя: корень-благословл;суффикс-я;суффикс-я;
показавшимися: корень-показ;суффикс-авш;окончание-ими;суффикс-ся;
подначивали: корень-поднач;суффикс-ива;суффикс-л;окончание-и;
бархатное: корень-бархат;суффикс-н;окончание-ое;
освещающемуся: приставка-о;корень-свещ;суффикс-а;суффикс-ющ;окончание-ему;суффикс-ся;
роспуска: приставка-рос;корень-пуск;окончание-а;
златоглавая: корень-златогл;суффикс-ав;окончание-ая;
перегибаете: приставка-пере;корень-гиб;суффикс-а;окончание-ете;
холодноватой: корень-холод;суффикс-н;суффикс-оват;окончание-ой;
накрутите: приставка-на;корень-крут;окончание-ите;
наехало: приставка-на;корень-ех;суффикс-ал;окончание-о;
дядиному: корень-дяд;суффикс-ин;окончание-ому;
ограничился: приставка-о;корень-гранич;суффикс-и;суффикс-л;суффикс-ся;
бравые: корень-брав;окончание-ые;
критикуемый: корень-критикуем;окончание-ый;
консервами: корень-консерв;окончание-ами;
согнулся: приставка-с;корень-огн;суффикс-у;суффикс-л;суффикс-ся;
косогорам: приставка-ко;приставка-со;корень-гор;окончание-ам;
перехожие: приставка-пере;корень-хож;окончание-ие;
прячусь: корень-пряч;окончание-у;суффикс-сь;
удалая: корень-удал;окончание-ая;
наигравшись: приставка-наи;корень-грав;суффикс-ш;суффикс-и;суффикс-сь;
приближавшееся: приставка-при;корень-ближ;суффикс-авш;окончание-ее;суффикс-ся;
разбиваемый: приставка-раз;приставка-би;корень-ваем;окончание-ый;
доберётся: приставка-до;корень-бер;окончание-ёт;суффикс-ся;
поднятой: корень-подня;суффикс-т;окончание-ой;
растроганно: корень-растроганно;
династии: корень-династи;окончание-и;
современниках: приставка-со;приставка-в;корень-ремен;суффикс-ник;окончание-ах;
святыню: корень-свят;суффикс-ын;окончание-ю;
уральцы: корень-ураль;суффикс-ц;окончание-ы;
покружил: приставка-по;корень-круж;суффикс-и;суффикс-л;
проносили: приставка-про;корень-нос;суффикс-и;суффикс-л;окончание-и;
сладим: корень-слад;окончание-им;
виданные: корень-вид;суффикс-анн;окончание-ые;
млечные: корень-млеч;суффикс-н;окончание-ые;
проносила: приставка-про;корень-нос;суффикс-и;суффикс-л;окончание-а;
млечным: корень-млеч;суффикс-н;окончание-ым;
вырезана: приставка-вы;корень-рез;суффикс-ан;окончание-а;
полученная: корень-получ;суффикс-енн;окончание-ая;
молотят: корень-молот;окончание-ят;
кормилицы: корень-корм;суффикс-и;суффикс-л;суффикс-иц;окончание-ы;
состоянию: корень-состоя;суффикс-н;суффикс-и;окончание-ю;
понадеешься: приставка-по;корень-наде;окончание-ешь;суффикс-ся;
дождёмся: корень-дожд;окончание-ём;суффикс-ся;
скучному: корень-скуч;суффикс-н;окончание-ому;
ответивши: корень-ответ;суффикс-ивш;суффикс-и;
полонянка: корень-полон;суффикс-янк;окончание-а;
тысячевёрстные: корень-тысячевёрстн;окончание-ые;
прощупывала: приставка-про;корень-щуп;суффикс-ыва;суффикс-л;окончание-а;
заболоченные: приставка-за;корень-болоч;суффикс-енн;окончание-ые;
слезинки: корень-слез;суффикс-инк;окончание-и;
букашек: корень-букаш;суффикс-ек;окончание-;
перееду: приставка-пере;корень-ед;окончание-у;
прощупывали: приставка-про;корень-щуп;суффикс-ыва;суффикс-л;окончание-и;
дополненные: приставка-до;корень-полн;суффикс-енн;окончание-ые;
украсивши: приставка-у;корень-крас;суффикс-ивш;суффикс-и;
противоречивых: корень-прот;суффикс-ив;суффикс-ор;суффикс-еч;суффикс-ив;окончание-ых;
поправилась: корень-попра;суффикс-в;суффикс-и;суффикс-л;окончание-а;суффикс-сь;
охладил: приставка-о;корень-хлад;суффикс-и;суффикс-л;
облитая: корень-обл;суффикс-ит;окончание-ая;
получившие: корень-получ;суффикс-ивш;окончание-ие;
позолоченная: приставка-по;корень-золоч;суффикс-енн;окончание-ая;
обломился: приставка-об;корень-лом;суффикс-и;суффикс-л;суффикс-ся;
садом: корень-сад;окончание-ом;
садок: корень-сад;суффикс-ок;
насадив: приставка-на;корень-сад;суффикс-ив;
неуверено: приставка-не;приставка-у;корень-вер;суффикс-ен;окончание-о;
приседаю: приставка-при;корень-сед;суффикс-а;окончание-ю;
подвернувшиеся: приставка-по;корень-двер;суффикс-ну;суффикс-вш;окончание-ие;суффикс-ся;
ананасами: корень-ананас;окончание-ами;
пальмам: корень-пальм;окончание-ам;
певучем: корень-пе;суффикс-в;суффикс-уч;окончание-ем;
узаконивающий: приставка-у;корень-закон;суффикс-ива;суффикс-ющ;окончание-ий;
поставок: корень-постав;суффикс-ок;окончание-;
сквозными: корень-сквоз;суффикс-н;окончание-ыми;
певучее: корень-пе;суффикс-в;суффикс-уч;окончание-ее;
полированное: корень-полирова;суффикс-нн;окончание-ое;
съело: корень-съ;суффикс-ел;окончание-о;
игру: корень-игр;окончание-у;
взглянуло: приставка-вз;корень-гля;суффикс-ну;суффикс-л;окончание-о;
перечитает: корень-переч;суффикс-ит;суффикс-а;окончание-ет;
озёрам: корень-озёр;окончание-ам;
рыбное: корень-рыб;суффикс-н;окончание-ое;
краснолицей: корень-красн;суффикс-ол;суффикс-иц;окончание-ей;
напечатавший: приставка-на;корень-печат;суффикс-авш;окончание-ий;
рыбной: корень-рыб;суффикс-н;окончание-ой;
поверхностных: приставка-по;корень-верхн;суффикс-ост;суффикс-н;окончание-ых;
сборное: приставка-с;корень-бор;суффикс-н;окончание-ое;
пешеходная: корень-пешеходн;окончание-ая;
просвечивалось: приставка-про;корень-свеч;суффикс-ива;суффикс-л;окончание-о;суффикс-сь;
трудненький: корень-трудн;суффикс-еньк;окончание-ий;
правящи: корень-прав;суффикс-ящ;окончание-и;
посещениям: корень-посещ;суффикс-ени;окончание-ям;
выкатывается: корень-вык;суффикс-ат;суффикс-ыва;окончание-ет;суффикс-ся;
беспримерная: приставка-бес;корень-пример;суффикс-н;окончание-ая;
поскребёшь: приставка-по;корень-скреб;окончание-ёшь;
подслушивающим: приставка-под;корень-слуш;суффикс-ива;суффикс-ющ;окончание-им;
выносился: приставка-вы;корень-нос;суффикс-и;суффикс-л;суффикс-ся;
избаловали: приставка-из;корень-балова;суффикс-л;окончание-и;
дурацкое: корень-дур;суффикс-ац;суффикс-к;окончание-ое;
отобравших: приставка-ото;корень-брав;суффикс-ш;окончание-их;
косицы: корень-кос;суффикс-иц;окончание-ы;
подружившись: приставка-по;корень-друж;суффикс-ивш;суффикс-и;суффикс-сь;
полиметрия: корень-полиметри;окончание-я;
доказывали: корень-доказ;суффикс-ыва;суффикс-л;окончание-и;
бесхарактерного: приставка-бес;корень-характер;суффикс-н;окончание-ого;
берёзовому: корень-берёз;суффикс-ов;окончание-ому;
десантники: корень-десант;суффикс-ник;окончание-и;
заплыл: приставка-за;корень-плы;суффикс-л;
огласилось: приставка-о;корень-глас;суффикс-и;суффикс-л;окончание-о;суффикс-сь;
атакуемый: корень-атакуем;окончание-ый;
небоскрёбами: приставка-не;корень-боскр;суффикс-ёб;окончание-ами;
причёсывала: приставка-при;корень-чёс;суффикс-ыва;суффикс-л;окончание-а;
кипятят: корень-кип;суффикс-ят;окончание-ят;
отсоединил: приставка-от;приставка-со;корень-един;суффикс-и;суффикс-л;
отказом: корень-отказ;окончание-ом;
расстановки: приставка-рас;корень-станов;суффикс-к;окончание-и;
гербовая: корень-герб;суффикс-ов;окончание-ая;
игравшем: корень-игр;суффикс-авш;окончание-ем;
темнолицые: корень-темн;суффикс-ол;суффикс-иц;окончание-ые;
понятной: корень-поня;суффикс-т;суффикс-н;окончание-ой;
постояльцу: корень-пост;суффикс-о;суффикс-я;суффикс-ль;суффикс-ц;окончание-у;
пользы: корень-польз;окончание-ы;
тринадцатого: корень-тринадц;суффикс-ат;окончание-ого;
правильнее: корень-правиль;суффикс-н;суффикс-е;суффикс-е;
попытавшейся: приставка-по;корень-пыт;суффикс-авш;окончание-ей;суффикс-ся;
глядящая: корень-гляд;суффикс-ящ;окончание-ая;
лиловую: корень-лилов;окончание-ую;
скачущем: корень-скач;суффикс-ущ;окончание-ем;
завяло: приставка-за;корень-вял;окончание-о;
открыло: приставка-от;корень-крыл;окончание-о;
салатник: корень-салат;суффикс-ник;
осматриваемся: приставка-о;корень-сматр;суффикс-ива;окончание-ем;суффикс-ся;
обеспечен: корень-обеспеч;суффикс-ен;окончание-;
сплошным: корень-сплош;суффикс-н;окончание-ым;
сомах: корень-сом;окончание-ах;
налопаются: приставка-на;корень-лоп;суффикс-а;окончание-ют;суффикс-ся;
свисает: приставка-с;корень-вис;суффикс-а;окончание-ет;
крошечными: корень-кроше;суффикс-ч;суффикс-н;окончание-ыми;
ветвистую: корень-ветв;суффикс-ист;окончание-ую;
заметных: корень-зам;суффикс-ет;суффикс-н;окончание-ых;
часовое: корень-час;суффикс-ов;окончание-ое;
обсуждением: приставка-об;корень-сужд;суффикс-ени;окончание-ем;
примечательные: корень-примеч;суффикс-ат;суффикс-ель;суффикс-н;окончание-ые;
колыбельная: корень-колыбель;суффикс-н;окончание-ая;
грушевая: корень-груш;суффикс-ев;окончание-ая;
ораторскому: корень-оратор;суффикс-ск;окончание-ому;
терявшимся: корень-тер;суффикс-яв;суффикс-ш;окончание-им;суффикс-ся;
побагровел: приставка-по;корень-багр;суффикс-ов;суффикс-е;суффикс-л;
встретившуюся: корень-встрет;суффикс-ивш;окончание-ую;суффикс-ся;
падающую: корень-пад;суффикс-а;суффикс-ющ;окончание-ую;
объятая: корень-объя;суффикс-т;окончание-ая;
улавливала: приставка-у;корень-лавл;суффикс-ива;суффикс-л;окончание-а;
противоположное: приставка-противо;корень-полож;суффикс-н;окончание-ое;
наплывают: приставка-на;корень-плы;суффикс-ва;окончание-ют;
стеснённые: корень-стесн;суффикс-ённ;окончание-ые;
развесит: приставка-раз;корень-вес;окончание-ит;
колкими: корень-кол;суффикс-к;окончание-ими;
неисчислимо: приставка-не;приставка-ис;корень-числ;суффикс-им;окончание-о;
шкурами: корень-шкур;окончание-ами;
скопился: корень-скоп;суффикс-и;суффикс-л;суффикс-ся;
легенды: корень-легенд;окончание-ы;
поддерживающими: приставка-под;корень-держ;суффикс-ива;суффикс-ющ;окончание-ими;
перешагну: приставка-пере;корень-шаг;суффикс-н;окончание-у;
однообразна: корень-однообра;суффикс-зн;окончание-а;
прельщали: приставка-пре;корень-льщ;суффикс-ал;окончание-и;
потопим: приставка-по;корень-топ;окончание-им;
дикарям: корень-дик;суффикс-ар;окончание-ям;
состоявшаяся: корень-состоя;суффикс-вш;окончание-ая;суффикс-ся;
грянула: корень-гря;суффикс-ну;суффикс-л;окончание-а;
бесстрастность: приставка-бес;корень-страст;суффикс-н;суффикс-ость;окончание-;
пирон: корень-пир;суффикс-он;окончание-;
обрастая: приставка-об;корень-раст;суффикс-а;суффикс-я;
душистому: корень-душ;суффикс-ист;окончание-ому;
вышедшими: приставка-вы;корень-шедш;окончание-ими;
вывалян: приставка-вы;корень-валя;суффикс-н;окончание-;
втянутые: приставка-в;корень-тя;суффикс-ну;суффикс-т;окончание-ые;
очнитесь: корень-очн;суффикс-ит;суффикс-е;суффикс-сь;
лучащий: корень-луч;суффикс-ащ;окончание-ий;
отпечатавшиеся: приставка-от;корень-печат;суффикс-авш;окончание-ие;суффикс-ся;
обсушился: приставка-об;корень-суш;суффикс-и;суффикс-л;суффикс-ся;
патриотическая: корень-патриот;суффикс-ическ;окончание-ая;
продирающий: корень-прод;суффикс-ир;суффикс-а;суффикс-ющ;окончание-ий;
строкой: корень-строк;окончание-ой;
бредившего: корень-бред;суффикс-ивш;окончание-его;
приезжавшие: приставка-при;корень-езж;суффикс-авш;окончание-ие;
посулила: приставка-по;приставка-су;корень-лил;окончание-а;
высказыванию: приставка-вы;корень-сказ;суффикс-ыва;суффикс-н;суффикс-и;окончание-ю;
завизжала: приставка-за;корень-визж;суффикс-ал;окончание-а;
разевают: корень-разева;окончание-ют;
завизжало: приставка-за;корень-визж;суффикс-ал;окончание-о;
прогретым: приставка-про;корень-гре;суффикс-т;окончание-ым;
затрещало: приставка-за;корень-трещ;суффикс-ал;окончание-о;
прогретые: приставка-про;корень-гре;суффикс-т;окончание-ые;
склонная: корень-склон;суффикс-н;окончание-ая;
шмыгнул: корень-шмыг;суффикс-ну;суффикс-л;
незнакомое: приставка-не;корень-знаком;окончание-ое;
водопроводного: приставка-во;приставка-до;приставка-про;корень-водн;окончание-ого;
летописей: корень-летопис;окончание-ей;
опустевши: корень-опус;суффикс-т;суффикс-евш;суффикс-и;
редкостно: корень-редкостно;
украинских: корень-украин;суффикс-ск;окончание-их;
замечала: корень-замеч;суффикс-ал;окончание-а;
следую: корень-след;суффикс-у;окончание-ю;
воспользовалась: приставка-вос;корень-польз;суффикс-ова;суффикс-л;окончание-а;суффикс-сь;
доблестным: корень-доблест;суффикс-н;окончание-ым;
максимума: корень-максим;суффикс-ум;окончание-а;
подтащил: приставка-под;корень-тащ;суффикс-и;суффикс-л;
личностью: корень-лич;суффикс-н;суффикс-ость;окончание-ю;
добродушен: приставка-до;корень-брод;суффикс-уш;суффикс-ен;окончание-;
справочнику: корень-справ;суффикс-очн;суффикс-ик;окончание-у;
отсверкав: приставка-от;корень-сверк;суффикс-ав;
семилеткой: корень-сем;суффикс-и;суффикс-л;суффикс-етк;окончание-ой;
заплещет: приставка-за;корень-плещ;окончание-ет;
спихнул: приставка-с;корень-пих;суффикс-ну;суффикс-л;
прогибает: приставка-про;корень-гиб;суффикс-а;окончание-ет;
бездарен: приставка-без;корень-дар;суффикс-ен;окончание-;
бездарей: приставка-без;корень-дар;окончание-ей;
добегаю: приставка-до;корень-бег;суффикс-а;окончание-ю;
выполняется: приставка-вы;корень-полн;суффикс-я;окончание-ет;суффикс-ся;
гремучие: корень-грем;суффикс-уч;окончание-ие;
взлетай: приставка-вз;корень-лет;суффикс-а;суффикс-й;
одолевает: корень-одол;суффикс-ева;окончание-ет;
подрумянило: приставка-под;корень-румян;суффикс-и;суффикс-л;окончание-о;
взлетав: приставка-вз;корень-лет;суффикс-ав;
расслабляя: приставка-рас;корень-слабл;суффикс-я;суффикс-я;
мордашку: корень-морд;суффикс-ашк;окончание-у;
обвалившегося: приставка-об;корень-вал;суффикс-ивш;окончание-его;суффикс-ся;
печалью: корень-печаль;окончание-ю;
крапинками: корень-крап;суффикс-инк;окончание-ами;
воробушка: корень-вороб;суффикс-ушк;окончание-а;
последнего: корень-последн;окончание-его;
колючую: корень-кол;суффикс-юч;окончание-ую;
осетровые: корень-осетр;суффикс-ов;окончание-ые;
слезает: корень-слез;суффикс-а;окончание-ет;
разостлан: приставка-разо;корень-стл;суффикс-ан;окончание-;
киснул: корень-кис;суффикс-ну;суффикс-л;
облетим: корень-обл;суффикс-ет;окончание-им;
попахивает: корень-попа;суффикс-х;суффикс-ива;окончание-ет;
посылаемый: приставка-по;корень-сылаем;окончание-ый;
привилегий: корень-привилег;окончание-ий;
сохранившиеся: приставка-со;корень-хран;суффикс-ивш;окончание-ие;суффикс-ся;
распрямлявший: приставка-рас;корень-прямл;суффикс-яв;суффикс-ш;окончание-ий;
посылаемые: приставка-по;корень-сылаем;окончание-ые;
приоткрывшись: приставка-при;приставка-от;корень-кры;суффикс-вш;суффикс-и;суффикс-сь;
печени: корень-печ;суффикс-ен;окончание-и;
сопутствуют: приставка-со;корень-пут;суффикс-ств;суффикс-у;окончание-ют;
погибаю: приставка-по;корень-гиб;суффикс-а;окончание-ю;
колоннам: корень-колонн;окончание-ам;
посланнику: корень-пос;суффикс-л;суффикс-анн;суффикс-ик;окончание-у;
нанизан: корень-нан;суффикс-из;суффикс-ан;окончание-;
тлям: корень-тл;окончание-ям;
считывающий: корень-счит;суффикс-ыва;суффикс-ющ;окончание-ий;
соотношению: приставка-со;корень-отнош;суффикс-ени;окончание-ю;
спускающего: приставка-с;корень-пуск;суффикс-а;суффикс-ющ;окончание-его;
поразительному: приставка-по;корень-раз;суффикс-итель;суффикс-н;окончание-ому;
впадающей: приставка-в;корень-пад;суффикс-а;суффикс-ющ;окончание-ей;
призывающие: корень-приз;суффикс-ыва;суффикс-ющ;окончание-ие;
